City,Locality,Size_sqft,Property_Type,Age_years,Distance_to_metro_km,Amenities_score,Price_per_sqft,Total_Price_Cr,Estimated_Monthly_Rent
Hyderabad,Gachibowli,3500,Apartment,3,3.93,10,21500,7.53,219479
Hyderabad,Gachibowli,1800,Apartment,7,1.81,6,13000,2.34,68250
Hyderabad,Gachibowli,1200,Apartment,21,0.86,9,7000,0.84,24500
Hyderabad,Gachibowli,2500,Apartment,1,7.17,5,19500,4.88,142187
Hyderabad,Gachibowli,1500,Apartment,7,0.5,9,10000,1.5,43750
Hyderabad,Gachibowli,1500,Villa,22,2.08,6,11000,1.65,48125
Hyderabad,Gachibowli,2500,Villa,18,3.25,5,15500,3.88,113020
Hyderabad,Gachibowli,1350,Villa,22,3.12,7,11500,1.55,45281
Hyderabad,Gachibowli,1800,Apartment,4,6.23,7,12500,2.25,65625
Hyderabad,Gachibowli,1200,Villa,2,3.85,5,13000,1.56,45500
Hyderabad,Gachibowli,2200,Villa,11,4.72,5,19000,4.18,121916
Hyderabad,Gachibowli,2500,Apartment,17,5.29,8,14500,3.62,105729
Hyderabad,Gachibowli,1000,Villa,17,6.05,10,9000,0.9,26250
Hyderabad,Gachibowli,3000,Apartment,11,1.95,10,17000,5.1,148750
Hyderabad,Gachibowli,1000,Apartment,1,0.93,7,8000,0.8,23333
Hyderabad,Gachibowli,1000,Apartment,7,1.25,8,8000,0.8,23333
Hyderabad,Gachibowli,1800,Villa,14,6.94,6,14500,2.61,76125
Hyderabad,Gachibowli,2200,Apartment,11,5.1,10,13500,2.97,86625
Hyderabad,Gachibowli,1800,Apartment,22,0.63,9,9000,1.62,47250
Hyderabad,Gachibowli,3500,Apartment,5,6.73,6,23500,8.22,239895
Hyderabad,Gachibowli,2500,Villa,12,3.32,10,27000,6.75,196875
Hyderabad,Gachibowli,3500,Apartment,17,2.09,10,20000,7.0,204166
Hyderabad,Gachibowli,2000,Apartment,24,9.7,6,10000,2.0,58333
Hyderabad,Gachibowli,900,Villa,25,9.24,8,7500,0.68,19687
Hyderabad,Gachibowli,1800,Apartment,2,1.16,9,12500,2.25,65625
Hyderabad,Gachibowli,2000,Villa,6,2.93,8,17500,3.5,102083
Hyderabad,Gachibowli,3500,Apartment,14,8.34,7,17500,6.12,178645
Hyderabad,Gachibowli,1200,Villa,7,5.56,10,12000,1.44,42000
Hyderabad,Gachibowli,3000,Villa,13,1.67,7,26500,7.95,231875
Hyderabad,Gachibowli,1500,Villa,4,7.37,5,17500,2.62,76562
Hyderabad,Gachibowli,900,Apartment,3,7.78,10,7500,0.68,19687
Hyderabad,Gachibowli,1350,Villa,25,1.42,9,9500,1.28,37406
Hyderabad,Gachibowli,1000,Villa,12,8.67,9,9000,0.9,26250
Hyderabad,Gachibowli,2500,Villa,16,0.92,9,22000,5.5,160416
Hyderabad,Gachibowli,750,Apartment,21,3.32,10,5000,0.38,10937
Hyderabad,Gachibowli,3000,Villa,24,6.48,10,18500,5.55,161875
Hyderabad,Gachibowli,2000,Villa,3,8.91,8,19500,3.9,113750
Hyderabad,Gachibowli,1350,Apartment,14,7.22,10,8500,1.15,33468
Hyderabad,Gachibowli,1800,Apartment,16,7.68,9,12000,2.16,63000
Hyderabad,Gachibowli,1200,Villa,20,5.09,10,10500,1.26,36750
Hyderabad,Gachibowli,3000,Apartment,19,5.37,6,15000,4.5,131250
Hyderabad,Gachibowli,2200,Apartment,24,1.35,9,10500,2.31,67375
Hyderabad,Gachibowli,3000,Villa,0,0.6,8,27500,8.25,240625
Hyderabad,Gachibowli,750,Villa,3,5.23,7,10000,0.75,21875
Hyderabad,Gachibowli,1800,Apartment,1,9.1,9,13000,2.34,68250
Hyderabad,Gachibowli,1000,Villa,2,7.63,5,10500,1.05,30625
Hyderabad,Gachibowli,3000,Apartment,24,2.52,6,13500,4.05,118125
Hyderabad,Gachibowli,3500,Apartment,15,1.86,7,18500,6.47,188854
Hyderabad,Gachibowli,3000,Villa,19,9.32,6,23000,6.9,201250
Hyderabad,Gachibowli,3000,Apartment,24,8.75,10,15000,4.5,131250
Hyderabad,Gachibowli,2000,Villa,12,8.1,8,20000,4.0,116666
Hyderabad,Gachibowli,3000,Apartment,14,8.99,6,17000,5.1,148750
Hyderabad,Gachibowli,1500,Villa,2,3.38,5,16500,2.48,72187
Hyderabad,Gachibowli,3000,Apartment,17,4.44,9,15500,4.65,135625
Hyderabad,Gachibowli,1500,Apartment,0,8.23,10,9500,1.43,41562
Hyderabad,Gachibowli,3500,Apartment,1,2.45,5,25000,8.75,255208
Hyderabad,Gachibowli,900,Apartment,10,1.46,9,7000,0.63,18375
Hyderabad,Gachibowli,1800,Villa,8,3.44,6,17500,3.15,91875
Hyderabad,Gachibowli,3000,Villa,4,5.33,6,27000,8.1,236250
Hyderabad,Gachibowli,2500,Villa,25,9.73,6,18500,4.62,134895
Hyderabad,Gachibowli,1000,Villa,3,9.64,7,11500,1.15,33541
Hyderabad,Gachibowli,2500,Villa,13,3.22,10,18500,4.62,134895
Hyderabad,Gachibowli,900,Apartment,21,3.06,5,5500,0.49,14437
Hyderabad,Gachibowli,2200,Villa,23,5.18,5,15000,3.3,96250
Hyderabad,Gachibowli,1800,Apartment,6,0.8,9,13000,2.34,68250
Hyderabad,Gachibowli,2500,Villa,4,2.62,6,24500,6.12,178645
Hyderabad,Gachibowli,1800,Apartment,14,1.71,5,11500,2.07,60375
Hyderabad,Gachibowli,2500,Apartment,25,2.65,5,11500,2.88,83854
Hyderabad,Gachibowli,3500,Apartment,17,6.82,5,17000,5.95,173541
Hyderabad,Gachibowli,1800,Villa,5,7.36,8,20000,3.6,105000
Hyderabad,Gachibowli,2500,Villa,6,3.87,5,27000,6.75,196875
Hyderabad,Gachibowli,1350,Apartment,12,5.5,8,10000,1.35,39375
Hyderabad,Gachibowli,1800,Villa,25,1.18,7,12000,2.16,63000
Hyderabad,Gachibowli,2500,Villa,22,2.11,6,19000,4.75,138541
Hyderabad,Gachibowli,1500,Apartment,9,0.7,5,11500,1.73,50312
Hyderabad,Gachibowli,3000,Apartment,23,0.46,10,15000,4.5,131250
Hyderabad,Gachibowli,2000,Apartment,1,5.27,9,16000,3.2,93333
Hyderabad,Gachibowli,2500,Apartment,16,1.99,5,12500,3.12,91145
Hyderabad,Gachibowli,3000,Apartment,2,7.0,5,22000,6.6,192500
Hyderabad,Gachibowli,3000,Apartment,2,1.63,8,20500,6.15,179375
Hyderabad,Gachibowli,1200,Apartment,18,3.61,9,7000,0.84,24500
Hyderabad,Gachibowli,3000,Apartment,1,6.7,8,22000,6.6,192500
Hyderabad,Gachibowli,3500,Villa,18,8.23,7,29000,10.15,296041
Hyderabad,Gachibowli,1500,Villa,21,2.65,6,14500,2.17,63437
Hyderabad,Gachibowli,1800,Apartment,12,1.2,10,10000,1.8,52500
Hyderabad,Gachibowli,3500,Villa,9,3.69,7,33500,11.72,341979
Hyderabad,Gachibowli,1000,Villa,0,7.34,9,13000,1.3,37916
Hyderabad,Gachibowli,3000,Apartment,3,1.12,9,22500,6.75,196875
Hyderabad,Gachibowli,1500,Villa,16,1.87,6,13500,2.02,59062
Hyderabad,Gachibowli,2200,Apartment,2,0.39,7,17000,3.74,109083
Hyderabad,Gachibowli,1800,Villa,5,1.28,9,19000,3.42,99750
Hyderabad,Gachibowli,3500,Apartment,9,7.01,10,19000,6.65,193958
Hyderabad,Gachibowli,3000,Apartment,9,6.62,6,19500,5.85,170625
Hyderabad,Gachibowli,1800,Apartment,3,2.6,10,12500,2.25,65625
Hyderabad,Gachibowli,3000,Villa,4,3.46,7,31000,9.3,271250
